748,873,56,0,586
649,856,66,0,624
531,824,73,0,665
453,804,80,0,687
456,807,78,0,699
484,818,78,0,709
525,831,77,0,717
549,836,77,0,723
563,838,79,0,727
579,838,75,0,729
594,838,70,0,725
591,830,61,0,718
569,812,51,0,709
549,793,47,0,692
498,764,45,0,673
399,707,44,0,646
282,626,47,0,621
120,483,50,0,588
36,215,46,0,553
0,49,47,0,521
0,0,46,0,498
0,0,48,0,490
0,0,49,0,486
0,0,47,0,487
0,0,45,0,486
0,0,30,0,484
0,0,24,0,441
0,0,20,0,358
0,0,7,0,246
0,0,0,0,179
0,0,0,0,152
0,0,0,0,137
0,0,0,0,99
0,0,0,0,15
0,0,0,0,0
0,0,0,0,0
6,0,0,0,0
27,0,0,0,0
57,0,0,0,0
76,0,0,0,0
78,0,0,0,0
58,0,0,0,0
41,0,0,0,0
29,0,0,0,0
23,0,0,0,0
23,0,0,0,0
11,0,0,0,0
20,0,0,0,0
37,0,0,0,0
56,0,0,0,0
80,0,0,0,0
97,0,0,0,0
112,0,0,0,0
126,0,0,0,0
140,0,0,0,0
143,0,0,0,0
141,0,0,0,0
138,0,0,0,0
137,0,0,0,0
133,0,0,0,0
107,0,0,0,0
86,0,0,0,0
79,0,0,0,0
26,0,0,0,0
10,0,0,0,82
29,0,0,0,224
63,6,3,0,303
170,147,13,0,309
456,527,13,0,265
669,729,2,0,248
713,770,2,0,305
678,767,11,0,366
593,733,24,0,406
524,708,39,0,452
500,710,52,0,501
508,723,53,0,531
503,729,56,0,555
475,733,62,0,570
444,733,71,0,585
417,732,74,0,598
422,735,79,0,602
469,750,77,0,590
563,778,62,0,543
681,817,52,0,457
788,857,48,0,365
853,883,14,0,203
889,901,0,0,10
908,911,0,0,0
916,915,0,0,0
921,916,0,0,0
923,916,0,0,0
923,914,0,0,0
919,910,0,0,0
907,903,0,0,0
880,892,0,0,0
814,870,34,0,195
655,811,75,0,406
291,634,99,0,523
25,216,125,0,622
0,0,148,0,675
0,0,129,0,716
0,0,72,0,750
0,0,59,0,778
0,0,65,0,656
0,0,0,0,43
68,0,0,0,0
84,0,0,0,0
125,0,0,0,0
138,0,0,0,0
141,0,0,0,0
133,0,0,0,0
106,0,0,0,0
90,0,0,0,0
88,0,0,0,0
392,0,0,0,0
893,542,0,0,0
913,832,0,0,0
897,847,0,0,0
887,855,0,0,0
886,869,0,0,0
881,879,0,0,58
869,880,0,0,238
828,869,18,0,362
753,841,40,0,441
615,774,53,0,524
374,647,63,0,604
167,458,97,0,671
26,134,112,0,709
0,0,117,0,735
0,0,129,0,765
0,0,106,0,785
0,0,85,0,814
0,0,45,0,744
0,0,0,0,14
107,0,0,0,0
86,0,0,0,0
103,0,0,0,0
114,0,0,0,0
100,0,0,0,0
85,0,0,0,0
79,0,0,0,0
73,0,0,0,0
74,0,0,0,0
92,0,0,0,0
853,440,0,0,0
924,778,0,0,0
922,888,0,0,0
916,891,0,0,0
918,897,0,0,0
919,904,0,0,0
918,906,0,0,0
916,906,0,0,0
909,903,0,0,0
903,898,0,0,0
889,891,0,0,0
867,883,0,0,78
807,855,14,0,210
551,715,46,0,339
21,55,87,0,505
0,0,87,0,654
0,0,70,0,744
0,0,24,0,718
0,0,0,0,44
133,0,0,0,0
144,0,0,0,0
161,0,0,0,0
173,0,0,0,0
164,0,0,0,0
152,0,0,0,0
139,0,0,0,0
134,0,0,0,0
147,0,0,0,0
664,66,0,0,0
922,734,0,0,0
931,893,0,0,0
921,895,0,0,0
