-24,-37,32
-36,-34,34
-56,-16,48
-32,-14,46
-1,-14,39
21,-13,36
28,-11,34
31,-7,36
29,-1,40
27,-1,40
29,-5,37
26,-11,35
20,-15,35
22,-20,32
22,-25,31
11,-28,31
3,-26,36
-5,-23,38
-28,-26,42
-49,-33,41
-76,-47,39
-97,-56,34
-116,-55,36
-113,-61,45
-126,-53,56
-148,-41,53
-110,-41,53
-53,-41,35
23,-14,38
85,4,46
103,19,75
76,14,82
27,4,98
-4,-4,125
34,21,147
128,5,199
198,-45,275
272,-53,380
345,-60,528
354,-110,548
194,-126,297
-34,-67,65
-252,-42,61
-365,-82,120
-429,-33,220
-515,103,328
-552,220,464
-519,317,646
-427,574,793
-289,637,915
-136,447,834
327,176,394
442,101,-517
513,88,-1062
616,50,-1220
709,33,-1067
687,32,-936
645,105,-988
589,138,-1149
515,191,-1137
383,118,-863
-40,44,-756
-254,-1545,106
-125,-653,64
3,-210,76
40,-213,-21
53,-139,-51
89,-97,-36
121,-104,-26
139,-69,-3
57,-30,29
8,-23,35
-19,-6,43
-13,0,45
2,-5,41
17,-12,38
21,-16,39
24,-27,33
24,-29,33
24,-26,35
28,-24,36
34,-28,33
46,-31,28
70,-35,26
99,-40,29
132,-50,26
166,-59,21
178,-80,21
167,-94,19
127,-57,25
87,-14,28
68,5,27
44,27,28
-9,53,31
-94,34,40
-134,7,50
-125,10,53
-103,-1,50
-65,-37,55
-55,-38,54
-73,-97,11
-256,-187,-4
-848,29,67
-2573,514,576
-4314,484,1521
-6459,3065,2632
-2327,519,2130
1055,108,613
1975,-693,-1152
2709,-1094,-1605
3343,-1331,-1333
3789,-1376,-822
3842,-1451,-623
3324,-1308,-836
1428,-363,-1216
-1486,1006,-902
-2177,-143,-59
-210,31,60
-37,105,63
-116,111,63
-106,25,49
-67,-1,43
-56,-23,31
-44,-30,24
-60,8,40
-57,23,48
-23,11,44
1,5,41
-2,7,48
-31,-17,51
-155,-114,7
-525,-142,17
-2627,694,507
-5083,1015,1931
-7488,4275,3138
-540,31,1530
886,-986,-40
1788,-1658,-1034
2641,-2082,-1238
3360,-2136,-921
4071,-1726,-917
4351,-1435,-846
3657,-445,-1514
1084,-227,-2483
-1237,847,-1306
-2718,169,-48
-1382,-1,-5
-142,14,32
39,92,62
-6,45,31
-15,43,30
-9,49,38
-2,1,28
6,-7,28
-23,-21,33
-51,-23,39
-74,16,56
-128,53,72
-183,64,92
-272,-88,88
